ID,Target
TEST_0037_Answer,"que de tout ce qui précède, il s’ensuit que la Cour d’appel d’Owando n’a en rien violé les dispositions de l’article 29 de l’Acte uniforme sus-indiqué ;"
TEST_0037_Document_de_Reference,AU_procedures_collectives
TEST_0037_Numero_d_Article,29
TEST_0038_Answer,"Le requérant invoque à l’appui de son recours les quatre moyens de cassation, tels qu’ils figurent à la requête annexée au présent arrêt;"
TEST_0038_Document_de_Reference,AU_arbitrage
TEST_0038_Numero_d_Article,14
TEST_0039_Answer,Déclare la Société Internationale de Commerce de Produits Tropicaux recevable en son appel ;
TEST_0039_Document_de_Reference,AU_recouvrement
TEST_0039_Numero_d_Article,1
TEST_0040_Answer,"qu’en énonçant que la simple assignation ne peut être assimilée à une saisine de la juridiction qui requiert en plus l’accomplissement de certaines formalités et en prononçant la mainlevée de l’hypothèque pour cause de caducité de l’ordonnance Payant autorisée, la Cour d’appel a violé les dispositions de l’article 136 sus indiqué ;"
TEST_0040_Document_de_Reference,AU_surete
TEST_0040_Numero_d_Article,136
TEST_0041_Answer,"qu’il suit qu’en statuant comme elle l’a fait, la Cour d’Appel de Bamako a violé, par fausse application, l’article 247 précité et, par refus d’application, l’article 136 susvisé ;"
TEST_0041_Document_de_Reference,AU_surete
TEST_0041_Numero_d_Article,136
TEST_0042_Answer,"Le moyen, étant de pur droit, peut être proposé pour la première fois en cassation ;"
TEST_0042_Document_de_Reference,AU_arbitrage
TEST_0042_Numero_d_Article,13
TEST_0043_Answer,"ARTICLE 172 AUPSRVE ARTICLE 150 AUS CCJA, Assemblée plénière, Arrêt n° 105/2014 du 04 novembre 2014 ;"
TEST_0043_Document_de_Reference,AU_recouvrement
TEST_0043_Numero_d_Article,172
TEST_0044_Answer,"ORDONNANCE N°03/2015/CCJA (Article 30.2 du Règlement d’arbitrage)L’an deux mille quinze et le quatre juin Nous, Marcel SEREKOISSE-SAMBA, Président de la Cour Commune de Justice et d’Arbitrage de l’OHADA ;"
TEST_0044_Document_de_Reference,AU_arbitrage
TEST_0044_Numero_d_Article,30
TEST_0045_Answer,"qu’elle fait valoir l’irrecevabilité de l’appel formé contre le jugement N°219 rendu le 26 mars 2008 par le Tribunal de Grande Instance du Mfoundi à Yaoundé, au motif que ce Tribunal pour rejeter les dires et observations de la société GIDP SA, ne s’est prononcé que sur l’existence du titre exécutoire conformément à l’article 300 de l’Acte uniforme sur les voies d’exécution ;"
TEST_0045_Document_de_Reference,AU_recouvrement
TEST_0045_Numero_d_Article,300
TEST_0046_Answer,- VIOLATION DE L’ARTICLE 224 DE L’ACTE UNIFORME PORTANT ORGANISATION DES PROCEDURES SIMPLIFIEES ET DES VOIES D’EXECUTION : REJET.Le délai pour former recours devant la Cour Commune de Justice et d’Arbitrage est de 2 mois à partir de la signification de la décision attaquée ;
TEST_0046_Document_de_Reference,AU_arbitrage
TEST_0046_Numero_d_Article,224
